ID,Author,Comment
1,,Like and subscribe and you’ll get a treat for Halloween (not from me) anyways what’s something you wish you knew?
2,@muneebahmad3024,"1. Don't chase FAANG jobs
2. Learn the basics
3. Get real world experience by building professional projects
4. Networking"
3,@bigyang5847,"The best companies to start are usually the middle of the pack, already established on the market companies. These are the companies that do public transport apps, those who offer outsourcing, those who make insurance software. You can go through many different project inside such a company, without the immense pressure of fangg companies, and without the financial risk of startups. Literally the best of both worlds"
4,@brickie9816,I love how every single lesson can be applied not to just programming but to probably every field
5,@charlescramer8907,I don’t think you realize that you just gave people a blueprint to improve their life. Take these concepts and apply it to anything else and it will work. I love how open ended/general you left these topics in general and not just programming.
6,@Yipper64,"8:52 I really like specifically programming character controllers for videogames. If I had to get the most specific, that's my favorite part. Just making the character move how its supposed to. I may not be amazing at it but every time I add something to a character controller and then it works, I just love that immediate feedback."
7,@JoseA_CT,"I recently dropped out of college, I started studying physics but soon realized it was not for me. After some ""what the hell am I going to do with my life"" sleepless nights, I was like ""What if I try programming?"" I've always been interested in learning something but never really took that step, and so here I am now, starting my journey in this amazing field. I started with python and learnt some basics and also learnt some backend basics and how to work with an API (real basics obv), now I'm learning Java since that's what I'll need for school next year and I'm actually loving Java, I'm finishing the very basics of syntax and I can't wait to get my hands on GUI, more backend and even mobile apps."
8,@andrewclarke8163,Having a mentor has made the biggest difference for me. We met at jiu-jitsu. Didn't even realize he was a dev until a year into our friendship.
9,@Edu4Dev,"(Milton here): Awesome, I'm a Web Developer since 1998 and I love it. Tks for sharing."
10,@talhahamid9987,This video is so relatable and also informative. As a second year A-levels student i can relate with some of the points mentioned and definitely understand the rest clearly. Would love you to produce such content its amazing!
11,@rogerdeutsch5883,Best “X things I wish I knew” video I’ve seen. Great points!
12,@gerrygadget,"I totally agree with the Sloth, my experience lines up with his advice completely."
13,@deathgamer1557,This just gives me more reason to follow code basics data science road map. I am really thankful
14,@bethanye.3352,"I've been in college for Information Technology for almost a year now. I am ADHD with meds. A lot of the basic stuff that I've been introduced to has kind of just flown over my head because of my learning issues. But, I know that this field is something I want to really invest my time into. As long as I can remember, I've been on a computer. Most of my happiest moments in life were taking apart and (failing to) put together my old Windows computers. As I jump into the inner most aspects of technology, I realize that it's going to be very difficult. Finding your videos feels like I struck gold. You explain things in a way that makes it easy for me to understand and I really appreciate that about you! You have gained a sub today and I'm looking forward to watching more of your videos as I continue through college and beyond :D"
15,@MrPulka100,"From all of those advices, I especially love one. And this one applies to everything, and life in general: ENJOY THE JOURNEY.
Seriously, relax, be happy right now with what you do and where you are because that's what's great about life and programming - well... the life and programming. :D"
16,@yanmifeayeni6373,"I just started learning c# and I relate to a lot of things said in the video. The imposter syndrome I face at my workplace really affects my confidence. After watching this video I realize that I just have to stay dedicated to my own journey. I was thinking that one day I’ll become a master but after watching this I realize I’m so wrong. Thank you so much for this video, I know have renewed confidence that I can be a backend developer one day"
17,@H4KnSL4K,"Dude, this video was so enjoyable I couldn't help myself from liking and subscribing before even getting half-way through.  Nicely done"
18,@gincaza1913,"I've always felt like I couldn't really program, but just after doing some projects that I started to feel more confident"
19,@deepakchandola1457,"Bro, I loved your videos. Netflix was the first video I watched and now I watch every single video of yours. Keeping in mind all the words you said and implementing them in my coding and daily life, 
I don't know about today but it will definitely help. "
20,@Bl0xxy,I'm 13 (almost 14) and I've loved coding for so long.  I've always wanted a job in coding
21,@ulisesgallardorodriguez1839,"dude I totally agree with you, I've been in each lessons during my college and I can confirm all of them, you really deserve more views for this"
22,@BadRPGPlayer,"This is why I learn to code as a hobby. It would be fun to get paid for making things, but I'd rather not have the pressure of all of that, and just code for fun and see where it takes me."
23,@moon0xcoder,Really helpful video for me! I'm currently kinda struggling with imposter syndrome and becoming a competent programmer and this tips have helped me truly. Thanks! 
24,@vanillabin3480,"This video is clear and informative to me. Thanks! 
I just started learning coding (HTML, CSS for now) to intertwine with my design background and have searched for where to start it. “foundation, foundation, foundation!”
I’m not interested in getting hired by gold-shackled companies but for my projects and to work for medium-sized design companies. "
25,@coding_drama,This video cleared most of my doubts. Thanks brother!
26,@eastwesser,"Cool video, it helped me to understand the point of self-education I'm currently at. I wish you great health and luck, man :D
Peace <3"
27,@viniciussousadiniz4623,Dude thank you for this video this made me feel a lot better about myself im subscribing
28,@sulimlitaev1059,Good work as always. The Entertainment Part is very high but also very valuable infos in there. Thank you
29,@th3ja,Pure gold bro! Thanks for the video!
30,@shreyaskarsingh1835,"i have a aerospace eng background, just started to break into programming and learned js as my first lang  and i am quiet enjoying it , ps: great vid sloth "
31,@flakky626,"Man your videos are awesome and more informative!!
I was theoretically learning DEEP LEARNING ..understanding maths and all ..I felt happy that I could understand and build neural nets on my own untill I explored few open source projects last week and realized how far I'm from practicality"
32,@emmanuelrosas4164,"Wow, what a great video! It's quite realistic and inspiring; It really did make me think about where a I'm standing and what I want, even more in these tough times, and find it very helpful. Thanks a lot for making this kinda content."
33,@naughtyprofessor42,"9:20 Real advice right there 
A lot of people need to hear this. Just enjoy the journey. You will never be a master or a pro. It's a dynamic field and things will regularly change. Enjoy the fact that each time, you will always be evolving"
34,@pwdh,"Thanks dude, ngl this video has opened my mind fr. Start small and grow bigger "
35,@Chumkinn,Dude I love lemmy's videos so much I started watching him like a month ago! Also this video was super good too! Keep up the good work man.  :3
36,@thenaserov,"24 years old and I've been doing SE for five years, I must say everything you've just mentioned I have seen and touched and I didn't know the right words to place them!!!!"
37,@aimeYM1,Great video and insights . Keep up the good work.
38,@michaelfoulk,21k subscribers and advice thats not wild. Im a CS major and lesson 2 helped a lot. Im still watching lol
39,@TheFinagle,"Number 2 (focus on fundamentals) is why knowing older lower level languages like C++ will always be valuable to smart hiring managers. New languages might have lots of quality of life features that alow faster coding, but there will always be something you cant just plug in a library for"
40,@ThemedrixMedaro,"that was so good to watch, thanks man"
41,@thesomeone2596,Really well done and to the point video good job dude!
42,@perfectbase,"Great video!
Last time I saw your video, your channel was pretty small… but I knew you would grow fast!
You deserve it. Keep it up!"
43,@0_0oweee4,Hey codding sloth just want to let u know to keep doing what U do man really inspiring frfr :)
44,@betanpc8210,This is a great channel! This one is worth a sub! I also like the pixel art.
45,@MAX-nv6yj,"Truly, my friend, people like you spread positivity. You are the kind of person I learn a lot from."
46,@YuTEM,"""You'll often be presented with vague problems and be expected to find a solution"", that's basically my cs experience for my first year in uni"
47,@NoOne-fe3gc,"Ohh the impostor syndrom bit is real. I am a tech lead, 10 yrs experience and I still feel it.
Every promotion you get you will feel it, no matter how experienced you are"
48,@schwepesssssss,"Such a good channel, keep up!"
49,@jorgemariorocha1529,"Thank u , i I needed to hear some advice like this"
50,@cindaellas,That's the mirror of the truth! Well done!
51,@user-ok6yc9xh6o,"The living room!
The answer to the second joke! - 10:19
Loved your video btw, amazing Dude!"
52,@ayberk272,"Great videos, great humor. Keep it up!"
53,@Farzeezy,My tip: Add buffer to your estimates and be firm. You will try to be convinced to lower estimates to either lower cost or simplify resource management. It's okay to estimate higher than what you might think is the right number. Delivering something shouldn't be a speedrun. What you deliver should be made with care and consideration.
54,@Florida_man21,Keep it up dude! Just subscribed!
55,@luay_kelani,Omg the very most absolute best video about being a programmer.
56,@abanopnashat3712,"it's kinda nice every now and then people like you just remind me that imposter syndrome exists, you just made me boost myself up again and say, ""come on dude push urself a little more"", huge thx."
57,@LHippyman,"I'm most likely gonna be a freelance programmer for some time. I'm thinking of learning vanilla Lua (5.3 or the latest) and taking that knowledge with me when I code on Roblox, GMod, and LOVE."
58,@MAX-nv6yj,"This isn't only for programming its also for other tech jobs (:
 keep going my friend <3"
59,@lancemarchetti8673,I thrash out specific coding projects at home and it  brings me thrills and lots of unplanned coffee breaks without a supervisor looking over my middle shoulder.
60,@Kanikkl,Great video explaining important domains of software engineering! Seems like you mixed up stakeholders with customers / project sponsors in your video at 7:35. The roles you have listed all describe relevant stakeholders.
61,@kelpR,im so glad i stumbled upon this vid!
62,@santoshbala0210,"This man should be renamed this channel ""The Heavenly Sloth"". Your videoes are so useful not only for coding for being a student in general."
63,@meltygear5955,"Something MANGA offers that other companies don't: An insane resume buff. 2 years in a MANGA can be an eye-catcher to ANY company you want, including other MANGA's. 2 years in a startup that crashed and burned or their product was never popular enough? Not so much."
64,@Atistatic,Men i really loved the mascot of your channel.
65,@monia8006,"You've just named what i was struggling with - impostor syndrome. I'm 2nd year CS student on uni and ever since the beginning i've always felt so insecure i didn't even talk to people to not embarass myself even tho i knew i was right lol. Thanks for this vid, helped a lot."
66,@JugMelodies,Great thumbnail and video design 
67,@Wayko6217,"Had interview with Google and it was then I realize I needed to learn more. I started with web development, then became an application developer, then made some mobile apps, then python game developer and now I create powershell scripts for work :) but in the end I say learn all you can study your fundamentals it will help with learning other languages"
68,@ericc6820,"I agree.  You don’t get into this for the money.  For me it’s about being creative and giving me some freedom.  But also, I do need to be able to support a family and feel compensated.  So to say money isn’t important wouldn’t be correct. But i totally get what you mean about big tech and bureaucracy."
69,@chadify12,Thank you 
70,@theartisticcoder,What tool do you use to generate the Sloth images in your videos? Or do you draw it yourself?
71,@user-qs5md2lc8m,"feedback, use softer shadows for your text boxes, they will look alot better"
72,@Gabriel-zr4kz,"About generalist depends. I've started as a generalist, most of the jobs that I got was front-end/mobile. I realised that I hate to set paddings. But It's kinda hard to get a backend job."
73,@glurp1er,"Basically, if you want to become a programmer, start by programming.
This applies to all fields of activity.
It sounds elementary, but I've met several young people who don't bother to practice."
74,@user-ge1sq3nx1z,Great video - real useful info
75,@bojacksworldwideweb,"Damn vro, your one really unique Youtuber, do you draw your character? Or does someone else make it for you?"
76,@artax33,I scrolled down to find the 100+ CS Concepts explained as the first recommended.
77,@shivamathiya8384,Like this video loved the sloth part.
78,@askholia,You could have just named this video: FACTS!
79,@mintaxis1433,Your English is so understandable
80,@Muhamedim,"Hey, I'm not a professional I'm just trying to develop some competences:
What does he mean by the basics? Is HTML  one of them??"
81,@lpsinko9705,"i was looking at the chart in 9:13 and i wonder why there is no filed called ""software developement ""or ""desktop apps development"""
82,@codingmickey,"Just 3 mins into the video and I've subscribed.. props on the awesome and actually useful content 

Onto completing the video. Thanks"
83,@karlostj4683,"""You're often going to be presented with a vague problem, and  you're expected to find a solution."" And then there's: You're going to be presented with a vague problem created by someone else's solution combined with a new context."
84,@ern0plus4,Approved. Pure gold.
85,@quantumrishi,Just out of topic question: how did you managed to get variety of poses with the same 
86,@jana2380,"Hi. Can you tell me, where can we find communities online to talk about coding (web dev for me). Love your video."
87,@Tom-lf7zw,Love the ai sloth art
88,@artemdovhyi4312,I love this cute Sloth<3
89,@googlegoodies,"You know am into cloud and also got Oracle cloud architect associate cert ,I am still at my college I don’t wanna get into to Dev role so do I need to do dsa leetcoding I am just confused  pls gib me som advice"
90,@NanerBag,"Based video, i have nothing to say, i just agree with everything 100%."
91,@bernardoprioste765,Great video!!
92,@sanderdejong66,"The biggest challenge: building a network. They don’t teach you how to do that in college or university. Major obstacle for techies, who are usually not the most outgoing types."
93,@Primeagen,"Its about 4 years, me being generalist and exploring different things, yet I am unable to choose one field which I like more. Does anybody have some steps for me to decide?"
94,@sahuf3655,Thanks man ur the best
95,@zedshockblade7157,"Regarding Lesson #7, is it better to apply to any job, even with a different tech stack, and specialize in the career I want later on? Or is it more advisable to specialize early on in your first job?"
96,@arafatmohammadasifbamboowa2211,Underrated
97,@cmartin8093,Learning python just for the heck of it. Plus wouldn't hurt to put it on my resume
98,@lionelt.9124,"It's a decision. I choose long term mutual gain with my partner and friends. All else are just experiments....well, everything is an experiment bit methods and goals effect possible future backlash."
99,@thatone5350,"When you learn a 2nd programming language then you realize that if you know one, you can learn the rest in a week. It's literally just different syntax."
100,@freak7053,"I'm getting a hard time learning javascript, what would you recommend?"
101,@MaesterSilva,Damn even devs want to be Mangakas now.
102,@narsplace,My programming teacher became a programmer just to work 1 day a week and get paid for 5 days.
103,@SheeceGardazi,best advise ever
104,@goonbreathfpv,It kills me inside to see faang listed as fanga
105,@shoyohinata-gt3qs,thank you mr sloth
106,@pablogarin,"I'm just going to state one simple fact of life to all the FAANG engineers with impostor syndrome: It's not you, it's the technical debt someone else left behind masked as ""a feature"" or because ""it's designed that way for security and consistency"". Believe me, when you hear those words, it's not that, it's just some lazy dude who didn't solve the problem and left it for you to solve somehow. They do it that way to deliver and get good perf."
107,@DarKHearT-fd2gl,"i recently started learning c++, im doing it for around 2,5 weeks, i keep getting the impostor syndrome.. when i see people asking for really advanced questions, when i see an advanced algorithm i never seen before, even tho i made a lot of projects i thought about while showering i still have doubts in my skills.."
108,@vetlapavankalyan3780,"9:07 Brainf*ck , Also keep up the good work nice video. I'll graduate in 2024, I'm Learning new things from each video you posted , Thank you Senior"
109,@DJaycerOfficial,"I honestly don’t know what I’m going to become outside of school.  I have 2 very different yet equally complex career paths of music and programming.  The only real overlap is either video game making and/or music programming.  Those on its own are kind of hard to just gain money off of.  So I don’t want to blindly hope for my game to be sold or for better things to be bought in my music program.  I would need something sustainable, like working at a bank.  I’m still in high school so I don’t have much to worry about yet but I should really start to learn."
110,@user-xr8cf8sg2w,"Enjoy the journey not the destination,roger that"
111,@andrewkutches,"Ironically, the people I know who work for Google graduated from Harvard, Stanford & MIT."
112,@georgelionon9050,"As over a decade coding as profession I second all your tips.. However I never felt anything like imposter syndrome, dunno I think its something that comes from American culture, maybe? Europeans on the other hand like to undersell themselves, this was more a repeated feeling.."
113,@gooo1762,Thanks a lot!
114,@emilyau8023,"I'm a simple woman. I see sloth, I click.

As a business analyst, the requirements that a professor gives you is supposed to be replaced by a BA. That's why a good BA is important."
115,@SorryStamin,"Not disregarding the talent, love your vids.  But we're you the kid in class who got roped into doing the PowerPoint in the group project?"
116,@tommydowning3481,"So the first tip is about two programmers (supposedly decent at math) telling you that the amount of applications makes it the hardest job to get? Besides, top tier financial institutions have like 1% acceptance rate."
117,@vladyslavstadnyk2762,"Well, its very helpful... But anyway, realizing what you'll never became a master is kinda frustrating."
118,@revolutionizer099,Just Wow!
119,@willi1978,i don't find scaling a system to millions of users fulfilling. i'd rather build small apps
120,@bubbyft3779,0:42 idk why this joke made me laugh out loud - THE FOOD
121,@fuzzy-02,"Tbh I prefer university over bookcamps and self taught because they teach so many fundamentals. at least here.

From hardware, operating systems, assembly, C, Java, Js, PHP, databases, many maths courses from statistics to probability to other"
122,@cybernetic-ransomware1485,I'm tired of these videos focusing on soft skills when I can't start working as a programmer. It's frustrating when you've been trying to change industries as a mechanical engineer for years and the only feedback from job interviews is: we found someone better.
123,@eLuars,Nice video. I felt the same
124,@pieflies,High level generalists are also pretty indispensable. You don’t need to specialise to be successful.
125,@josecalles7634,"I even now want to get hired at faang:(, but what do i have to do if i only want to be polivalent"
126,@tallonj1,"Are we calling python the fundamentals? Very high level language, if you really want to understand programming at its core, learn c and understand how it maps to what is happening in the computers hardware."
127,@Dix1206,"Annoyed by stupid HR, who never programmed in their life, asking if you know a certain programming language. When programming languages are all the same between them. It's just a few words that change. The skill that matters is how you put the words together."
128,@DanishTroll87,Great video
129,@jason-the-great52,"Google is 100% not the hardest job in the world to get. Let us think about some harder jobs to get.  President of the United States,  King of England, 5-star general of the US Military (5 ever in the history of the world),  Basically any leader of any country in the world."
130,@muhula,6:30 literally took the weight out of my shoulders
131,@sapelu,"How to handle imposter syndrome: a tedtalk by CodingSloth.

Step 1: Be Spiderman
Step 2: refer to step 1"
132,@mrJohnLocke2342,This is a goldmine
133,@lordbobby198,What software do you use to edit videos
134,@MissPiggyM976,200% true !
135,@chunchunmaru5128,"impostor syndrome check.
I was making a mod for a game and a bug would occur at random, i've never figured it our what it was. Then one day a 13yo kid without any experience but just youtubing and copy/pasting code for a month solved it and made my mod 1000times more efficient. (I do thing i'm actually bad at programming xd)"
136,@_MathanS,Where are you working my friend Coding_Sloth !!? 
137,@power_duck1252,"Great video, I cant find a job. Thanks!"
138,@filthydog1220,nice channel. you seem genuine and not some grifter promising you a haram of free food and half a mil salary with 4 months experience
139,@lisiasty688,can i be front end/full stack developer without ability of drawing?
140,@Brian-zx4pi,Thank you
141,@theloststarbounder,3:19: that's the best meme there is lmfao
142,@ChristopherButeau,10. You are always a cog in the machine big or small.
143,@meetshah7751,your video is very posting 
144,@honkhonkv2236,"7:00 ""the intern"" oh god "
145,@cameronsuniverse8,banger
146,@hashimgg88,"I don't give a shit about big company. 
The greet master said : money is everything, i need money."
147,@nutbunny10,1:32 Manga!
148,@dailinchibasgoico6508,Very useful video
149,@Ohioman6969,and 23rd or whatever to like
150,@damsen978,"This channel lol. So we got a Code Sloth and a Code Monkey.
Would be funny to find a Code Human to parody these channels."
151,@taiski5303,great video
152,@fuzzy-02,"Agh... hey man.
I stayee in house from 2020 to 2023... i dont know how to talk to people anymore... im 21 but I feel im still 19 inside. From introvert to hermit"
153,@UpgradingNepal,Thanks
154,@duality4y,I never will ever want to work for such big companies.
155,@h.t.8812,that's so good
156,@mironbarykin2379,"2:00 WTF It's Moscow, I have some flashbacks"
157,@paulurban2,"This is wisdom, kids."
158,@Iam_the_ai_mf,Never wished to work in big tech in my life
159,@udbhav227,Nice video
160,@mslasic1,"the food , benefits , the food "
161,@Eien65,9:13 can someone explain me how python is used in web dev cuz idk?
162,@Apipav1,"Ummm , so basically i like making iOS apps and in the other hand making websites semms cool to me too and im not sure witch one to start learning through… witch one you think is more worth to start learning…."
163,@masterm8840,3:29 be wild'n
164,@Ohioman6969,no way first one to comment
165,@dimaanikeev4816,nice video
166,@belalhoussameldin,That's where ChatGPT comes in handy
167,@tabotcharlesbessong3756,Anyone here looking to work in a startup or start their own startup ?
168,@WhyplayGaming,Now I need to learn to be a normal human being
169,@victorpinasarnault9135,Speaks only trues
170,@bandekhoda7801,Your voice is so similar to Pizzaroni idk why 
171,@adityanverma4476,Make programming your lifestyle
172,@poterlol2379,"dude... I know it's not related or relevant... but due to the cropping and the emoji on the brain f@#k code it prints ""gelln vn"" instead of ""hello world""...
I'm just letting you all know cause I tried to see what it prints and for about half an hour didn't understand what I got wrong... lol"
173,@pikachu_rocks,"guys, can someone guide me if going to college is any good? or not. i mean, i get all resources at the tip of my fingers through the internet, i did find some certs and other handy resources to follow, what should i do then? i'm confused, lol! but i don't mean i get nothing, it's just numbers are quite cackling."
174,@user-ps5rp5wf4q,now the problem is im excessively lazy
175,@rishiaman2288,8:03 ok
176,@pablo.dev.,Do I belong here? Is programming for me? I have 20 years of experience and sometimes I ask myself this questions 
177,@user-di8kl4cc5u,Did you use an AI to generated you're profile pic and assets?
178,@vitorcostalima2904,11:23- Manga?
179,@emteedee1891,imposter syndrome.... i got the wildest story on that
180,@t6hp,I laughed my ass off! @3:19
181,@abdumudi2,9:07 It's BrainFuck
182,@magnaknight9252,"For me, I don’t know where to start learning how to code. I’m just lost."
183,@Bird2920,did you intentionally spell MANGA with the logos?
184,@felipediazvlog,You can buy great food even if not working at Google ! Shocker.
185,@KeyboardBlack-xd4qu,Relax by working at the bank? 
186,@jordanjackson6151,Ha! I went to Harvard. But then I went to IBM. Got like 8 certs. Online but still. College is merely the stepping stone for some of us. Difference is NOT EVERYONE needs it. But my low level brain sure as hell did. At least I’m employed though. Certs make you feel like you got something to masturbate about until you actually get to work.
187,@saidellopez6826,"Yes, the language at 9:07 is called BrainFu**"
188,@choobontoiigame,"It's not FAANG anymore, It's MANGA now ha"
189,@speckbackke9695,"htmx as ""latest"" framework Kappa"
190,@hligfl,"Become a ""savvy developer""! ;)"
191,@kaffeetasse2461,what means leetcode translated to german? google translate says 'leet' in german is 'leet' again...super gugel. what means the word leet?
192,@duard8652,"""Skill issue"""
193,@GrimTheDestroyer,"Networking, welp we tried"
194,@danielrivas2226,why is it always about web development?
195,@GodofStories,"Most importantly, there are more important things in life then making a couple 100k more, from already a highly paid job."
196,@lotar1228,I think i made a mistake starting my biggest project yet...
197,@qeqsiquemechanical9041,"big tech job will suck your soul out, and not in a way that you'd like. also working for billionaire leeches is questionable, to say the least. unless your goal is to disrupt operations."
198,@xevious4142,That AI pixel art is so fucking scuffed lol
199,@124k3_,as he said connections .... can i get some (subscribe  idk any other way to have connection)
200,@mattias3668,"Please don't tell me that the newest big-tech acronym is MANGA … well I guess it's fitting as both should be killed with fire.

Anyhow, how come Spotify is missing? Isn't Spotify the number 1 most sought after, after Google, which is number 1?"
201,@hhputube,"Here is another thing, you do get pay more working non-big tech as well, surprise? No, that's the truth as well!"
202,@waveril5167,Till AI comes and your skills and network means nothing.
203,@victorportable3892,Startups give u big tech work expectations with none of the benefits. Just go to a bigger company that people seem to be happy to work at.
204,@pauloseixas5452,wait just a second when it comes to being more human because my goal is something like zuckerberg (an half-android half-human running on autopilot) the TRUE AND REAL programmer thinks and acts like one may i one day develop the ability to deal with life the same way as programs and then create functions that automatically responde to everyday life event as for more money and reputation as long as isn't part of my needs why should i bother
205,@rishiaman2288,AI made this slide show
206,@DecoyBBQCam,just learn rust
207,@jordanmatthew6315,"Google be woke, no need to apply."
208,@nonefvnfvnjnjnjevjenjvonej3384,do not do leetcode
209,@arturdawid6882,I guess this is US centered. Working culture is so toxic there. Every time I'm super amazed by this
210,@niewazneniewazne1890,FAGMAN > MANGA
211,@bibbibearydear2717,Gross that you use ai art for literally everything
212,@jaaan2914,"How the hell is NETFLIX included in that list?? Apple, Google, Amazon, Meta... Netflix... Pick the odd one out. They're not a TECH company, they're a streaming service, movie studio etc."
213,,Like and subscribe and you’ll get a treat for Halloween (not from me) anyways what’s something you wish you knew?
214,@muneebahmad3024,"1. Don't chase FAANG jobs
2. Learn the basics
3. Get real world experience by building professional projects
4. Networking"
215,@bigyang5847,"The best companies to start are usually the middle of the pack, already established on the market companies. These are the companies that do public transport apps, those who offer outsourcing, those who make insurance software. You can go through many different project inside such a company, without the immense pressure of fangg companies, and without the financial risk of startups. Literally the best of both worlds"
216,@brickie9816,I love how every single lesson can be applied not to just programming but to probably every field
217,@charlescramer8907,I don’t think you realize that you just gave people a blueprint to improve their life. Take these concepts and apply it to anything else and it will work. I love how open ended/general you left these topics in general and not just programming.
218,@Yipper64,"8:52 I really like specifically programming character controllers for videogames. If I had to get the most specific, that's my favorite part. Just making the character move how its supposed to. I may not be amazing at it but every time I add something to a character controller and then it works, I just love that immediate feedback."
219,@JoseA_CT,"I recently dropped out of college, I started studying physics but soon realized it was not for me. After some ""what the hell am I going to do with my life"" sleepless nights, I was like ""What if I try programming?"" I've always been interested in learning something but never really took that step, and so here I am now, starting my journey in this amazing field. I started with python and learnt some basics and also learnt some backend basics and how to work with an API (real basics obv), now I'm learning Java since that's what I'll need for school next year and I'm actually loving Java, I'm finishing the very basics of syntax and I can't wait to get my hands on GUI, more backend and even mobile apps."
220,@andrewclarke8163,Having a mentor has made the biggest difference for me. We met at jiu-jitsu. Didn't even realize he was a dev until a year into our friendship.
221,@Edu4Dev,"(Milton here): Awesome, I'm a Web Developer since 1998 and I love it. Tks for sharing."
222,@talhahamid9987,This video is so relatable and also informative. As a second year A-levels student i can relate with some of the points mentioned and definitely understand the rest clearly. Would love you to produce such content its amazing!
223,@rogerdeutsch5883,Best “X things I wish I knew” video I’ve seen. Great points!
224,@gerrygadget,"I totally agree with the Sloth, my experience lines up with his advice completely."
225,@deathgamer1557,This just gives me more reason to follow code basics data science road map. I am really thankful
226,@bethanye.3352,"I've been in college for Information Technology for almost a year now. I am ADHD with meds. A lot of the basic stuff that I've been introduced to has kind of just flown over my head because of my learning issues. But, I know that this field is something I want to really invest my time into. As long as I can remember, I've been on a computer. Most of my happiest moments in life were taking apart and (failing to) put together my old Windows computers. As I jump into the inner most aspects of technology, I realize that it's going to be very difficult. Finding your videos feels like I struck gold. You explain things in a way that makes it easy for me to understand and I really appreciate that about you! You have gained a sub today and I'm looking forward to watching more of your videos as I continue through college and beyond :D"
227,@MrPulka100,"From all of those advices, I especially love one. And this one applies to everything, and life in general: ENJOY THE JOURNEY.
Seriously, relax, be happy right now with what you do and where you are because that's what's great about life and programming - well... the life and programming. :D"
228,@yanmifeayeni6373,"I just started learning c# and I relate to a lot of things said in the video. The imposter syndrome I face at my workplace really affects my confidence. After watching this video I realize that I just have to stay dedicated to my own journey. I was thinking that one day I’ll become a master but after watching this I realize I’m so wrong. Thank you so much for this video, I know have renewed confidence that I can be a backend developer one day"
229,@H4KnSL4K,"Dude, this video was so enjoyable I couldn't help myself from liking and subscribing before even getting half-way through.  Nicely done"
230,@gincaza1913,"I've always felt like I couldn't really program, but just after doing some projects that I started to feel more confident"
231,@deepakchandola1457,"Bro, I loved your videos. Netflix was the first video I watched and now I watch every single video of yours. Keeping in mind all the words you said and implementing them in my coding and daily life, 
I don't know about today but it will definitely help. "
232,@Bl0xxy,I'm 13 (almost 14) and I've loved coding for so long.  I've always wanted a job in coding
233,@ulisesgallardorodriguez1839,"dude I totally agree with you, I've been in each lessons during my college and I can confirm all of them, you really deserve more views for this"
234,@BadRPGPlayer,"This is why I learn to code as a hobby. It would be fun to get paid for making things, but I'd rather not have the pressure of all of that, and just code for fun and see where it takes me."
235,@moon0xcoder,Really helpful video for me! I'm currently kinda struggling with imposter syndrome and becoming a competent programmer and this tips have helped me truly. Thanks! 
236,@vanillabin3480,"This video is clear and informative to me. Thanks! 
I just started learning coding (HTML, CSS for now) to intertwine with my design background and have searched for where to start it. “foundation, foundation, foundation!”
I’m not interested in getting hired by gold-shackled companies but for my projects and to work for medium-sized design companies. "
237,@coding_drama,This video cleared most of my doubts. Thanks brother!
238,@eastwesser,"Cool video, it helped me to understand the point of self-education I'm currently at. I wish you great health and luck, man :D
Peace <3"
239,@viniciussousadiniz4623,Dude thank you for this video this made me feel a lot better about myself im subscribing
240,@sulimlitaev1059,Good work as always. The Entertainment Part is very high but also very valuable infos in there. Thank you
241,@th3ja,Pure gold bro! Thanks for the video!
242,@shreyaskarsingh1835,"i have a aerospace eng background, just started to break into programming and learned js as my first lang  and i am quiet enjoying it , ps: great vid sloth "
243,@flakky626,"Man your videos are awesome and more informative!!
I was theoretically learning DEEP LEARNING ..understanding maths and all ..I felt happy that I could understand and build neural nets on my own untill I explored few open source projects last week and realized how far I'm from practicality"
244,@emmanuelrosas4164,"Wow, what a great video! It's quite realistic and inspiring; It really did make me think about where a I'm standing and what I want, even more in these tough times, and find it very helpful. Thanks a lot for making this kinda content."
245,@naughtyprofessor42,"9:20 Real advice right there 
A lot of people need to hear this. Just enjoy the journey. You will never be a master or a pro. It's a dynamic field and things will regularly change. Enjoy the fact that each time, you will always be evolving"
246,@pwdh,"Thanks dude, ngl this video has opened my mind fr. Start small and grow bigger "
247,@Chumkinn,Dude I love lemmy's videos so much I started watching him like a month ago! Also this video was super good too! Keep up the good work man.  :3
248,@thenaserov,"24 years old and I've been doing SE for five years, I must say everything you've just mentioned I have seen and touched and I didn't know the right words to place them!!!!"
249,@aimeYM1,Great video and insights . Keep up the good work.
250,@michaelfoulk,21k subscribers and advice thats not wild. Im a CS major and lesson 2 helped a lot. Im still watching lol
251,@TheFinagle,"Number 2 (focus on fundamentals) is why knowing older lower level languages like C++ will always be valuable to smart hiring managers. New languages might have lots of quality of life features that alow faster coding, but there will always be something you cant just plug in a library for"
252,@ThemedrixMedaro,"that was so good to watch, thanks man"
253,@thesomeone2596,Really well done and to the point video good job dude!
254,@perfectbase,"Great video!
Last time I saw your video, your channel was pretty small… but I knew you would grow fast!
You deserve it. Keep it up!"
255,@0_0oweee4,Hey codding sloth just want to let u know to keep doing what U do man really inspiring frfr :)
